dialog_index,queries,hits,hit_rate,avg_max_sim
355,6,0,0.0,0.162207
356,6,0,0.0,0.203648
357,6,0,0.0,0.168663
358,6,0,0.0,0.184778
359,6,0,0.0,0.181399
360,6,0,0.0,0.15445
361,6,0,0.0,0.179169
362,6,0,0.0,0.179673
363,6,0,0.0,0.193003
364,6,0,0.0,0.140339
365,6,0,0.0,0.137067
366,6,0,0.0,0.204797
367,6,0,0.0,0.231605
368,6,0,0.0,0.151273
369,6,0,0.0,0.181434
370,6,0,0.0,0.1475
371,6,0,0.0,0.139873
372,6,0,0.0,0.111748
373,6,0,0.0,0.149965
374,6,0,0.0,0.146118
375,6,0,0.0,0.16868
376,6,0,0.0,0.165239
377,6,0,0.0,0.158256
378,6,0,0.0,0.169279
379,6,0,0.0,0.186572
380,6,0,0.0,0.139618
381,6,0,0.0,0.139964
382,6,0,0.0,0.179032
383,6,0,0.0,0.13697
384,6,0,0.0,0.165777
385,6,0,0.0,0.13976
386,6,0,0.0,0.177392
387,6,0,0.0,0.161077
388,6,0,0.0,0.127715
389,6,0,0.0,0.177424
390,6,0,0.0,0.09905
391,6,0,0.0,0.170674
392,6,0,0.0,0.134191
393,6,0,0.0,0.114365
394,6,0,0.0,0.184538
395,6,0,0.0,0.187477
396,6,0,0.0,0.148595
397,6,0,0.0,0.171409
398,6,0,0.0,0.136077
399,6,0,0.0,0.194295
400,6,0,0.0,0.178553
401,6,0,0.0,0.128436
402,6,0,0.0,0.140385
403,6,0,0.0,0.165876
404,6,0,0.0,0.193022
405,6,0,0.0,0.200597
406,6,0,0.0,0.168805
407,6,0,0.0,0.130958
408,6,0,0.0,0.186742
409,6,0,0.0,0.15817
410,6,0,0.0,0.152088
411,6,0,0.0,0.138031
412,6,0,0.0,0.206323
413,6,0,0.0,0.150771
414,6,0,0.0,0.106537
415,6,0,0.0,0.201159
416,6,0,0.0,0.187814
417,6,0,0.0,0.200428
418,6,0,0.0,0.1753
419,6,0,0.0,0.172185
420,6,0,0.0,0.159186
421,6,0,0.0,0.199028
422,6,0,0.0,0.147574
423,6,0,0.0,0.244187
424,6,0,0.0,0.145989
425,6,0,0.0,0.172147
426,6,0,0.0,0.169645
427,6,0,0.0,0.156017
428,6,0,0.0,0.217609
429,6,0,0.0,0.126404
430,6,0,0.0,0.142459
431,6,0,0.0,0.151673
432,6,0,0.0,0.189886
433,6,0,0.0,0.188769
434,6,0,0.0,0.144079
435,6,0,0.0,0.195011
436,6,0,0.0,0.151646
437,6,0,0.0,0.1826
438,6,0,0.0,0.167359
439,6,0,0.0,0.125921
440,6,0,0.0,0.178627
441,6,0,0.0,0.107443
442,6,0,0.0,0.130218
443,6,0,0.0,0.158131
444,6,0,0.0,0.152042
445,6,0,0.0,0.186665
446,6,0,0.0,0.18578
447,6,0,0.0,0.228582
448,6,0,0.0,0.195445
449,6,0,0.0,0.167377
450,6,0,0.0,0.140983
451,6,0,0.0,0.180777
452,6,0,0.0,0.173564
453,6,0,0.0,0.15149
454,6,0,0.0,0.160138
455,6,0,0.0,0.217481
456,6,0,0.0,0.148928
457,6,0,0.0,0.165186
458,6,0,0.0,0.150769
459,6,0,0.0,0.141975
460,6,0,0.0,0.156948
461,6,0,0.0,0.181045
462,6,0,0.0,0.133508
463,6,0,0.0,0.156713
464,6,0,0.0,0.189919
465,6,0,0.0,0.200318
466,6,0,0.0,0.135186
467,6,0,0.0,0.182483
468,6,0,0.0,0.19175
469,6,0,0.0,0.146822
470,6,0,0.0,0.168957
471,6,0,0.0,0.204162
472,6,0,0.0,0.196867
473,6,0,0.0,0.157131
474,6,0,0.0,0.162341
475,6,0,0.0,0.166173
476,6,0,0.0,0.152548
477,6,0,0.0,0.127806
478,6,0,0.0,0.147037
479,6,0,0.0,0.17492
480,6,0,0.0,0.211767
481,6,0,0.0,0.207873
482,6,0,0.0,0.209998
483,6,0,0.0,0.166492
484,6,0,0.0,0.181431
485,6,0,0.0,0.165309
486,6,0,0.0,0.173477
487,6,0,0.0,0.175568
488,6,0,0.0,0.181783
489,6,0,0.0,0.241504
490,6,0,0.0,0.141186
491,6,0,0.0,0.121613
492,6,0,0.0,0.163833
493,6,0,0.0,0.159754
494,6,0,0.0,0.167813
495,6,0,0.0,0.177777
496,6,0,0.0,0.222209
497,6,0,0.0,0.197619
498,6,0,0.0,0.171685
499,6,0,0.0,0.144888
500,6,0,0.0,0.185808
501,6,0,0.0,0.183092
502,6,0,0.0,0.147275
503,6,0,0.0,0.182116
504,6,0,0.0,0.192858
505,6,0,0.0,0.189776
506,6,0,0.0,0.187507
507,6,0,0.0,0.183974
508,6,0,0.0,0.198775
509,6,0,0.0,0.141492
510,6,0,0.0,0.179718
511,6,0,0.0,0.136835
512,6,0,0.0,0.195622
513,6,0,0.0,0.198626
514,6,0,0.0,0.145329
515,6,0,0.0,0.131564
516,6,0,0.0,0.160703
517,6,0,0.0,0.175035
518,6,0,0.0,0.152402
519,6,0,0.0,0.14328
520,6,0,0.0,0.179231
521,6,0,0.0,0.148623
522,6,0,0.0,0.154904
523,6,0,0.0,0.190246
524,6,0,0.0,0.170471
525,6,0,0.0,0.173918
526,6,0,0.0,0.167257
527,6,0,0.0,0.148371
528,6,0,0.0,0.202328
529,6,0,0.0,0.187387
530,6,0,0.0,0.14679
531,6,0,0.0,0.151895
532,6,0,0.0,0.166125
533,6,0,0.0,0.172587
534,6,0,0.0,0.18133
535,6,0,0.0,0.132863
536,6,0,0.0,0.167345
537,6,0,0.0,0.203221
538,6,0,0.0,0.16645
539,6,0,0.0,0.138669
540,6,0,0.0,0.214386
541,6,0,0.0,0.16169
542,6,0,0.0,0.170145
543,6,0,0.0,0.227486
544,6,0,0.0,0.213535
545,6,0,0.0,0.123028
546,6,0,0.0,0.182257
547,6,0,0.0,0.184913
548,6,0,0.0,0.174217
549,6,0,0.0,0.174731
550,6,0,0.0,0.173339
551,6,0,0.0,0.193729
